제조사,제품명,신고번호,등록일,유통기한,기능성
(주)허브큐어,카테킨 포텐,20040015162235,20180813,제조일로부터 2년까지,"①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

①유해산소로부터 세포를 보호하는데 필요

①유해산소로부터 세포를 보호하는데 필요"
(주)웰레스트,카테킨&가르시니아 체지방케어 다이어트,20230029284119,20250203,제조일로부터 24개월,"(1) 항산화･체지방 감소･혈중 콜레스테롤 개선에 도움을 줄 수 있음

(1) 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음

(1) 유해산소로부터 세포를 보호하는데 필요"
코스맥스바이오(주),카테킨&바나바,200400200023705,20240718,제조일로부터 2년.,"1) 녹차추출물 : 항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음
2) 바나바잎추출물 : 식후 혈당상승 억제에 도움을 줄 수 있음"
풀무원건강생활(주),카테킨&비오틴,20040020001399,20221216,24개월,"①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

(1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
코스맥스바이오(주),카테킨+,200400200022774,20210305,제조일로부터 2년,항산화 · 체지방 감소 · 혈중 콜레스테롤 개선에 도움을 줄 수 있음. 
주식회사한미양행,카테킨14,200400150831959,20230911,제조일로부터 24개월까지,"①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

-기억력 개선·혈행 개선에 도움을 줄 수 있음

①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

(1) 탄수화물과 에너지 대사에 필요

(1) 체내 에너지 생성에 필요

①체내 에너지 생성에 필요

(1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

(1) 정상적인 엽산 대사에 필요

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①유해산소로부터 세포를 보호하는데 필요"
(주)네이처텍,카테킨400,20040020004417,20220527,제조일로부터 24개월,"[녹차추출물] 항산화, 체지방 감소 및 혈중 콜레스테롤 개선에 도움을 줄 수 있음
[비타민A] 어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성자와 발달에 필요
[비타민D] 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌
[비타민E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[비타민B1] 탄수화물과 에너지 대사에 필요
[비타민B2] 체내 에너지 생성 필요
[나이아신] 체내 에너지 생성 필요
[판토텐산] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민B6] 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12] 정상적인 엽산 대사에 필요
[비타민C] 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[아연] 정상적인 면역기능에 필요, 정상적인 세포분열에 필요
[셀렌] 유해산소로부터 세포를 보호하는데 필요"
한국바이오팜(주),카테킨450 + 혈당컨트롤,2022002106773,20240517,제조일로부터 24개월,"[녹차추출물] 항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

[바나바잎 추출물] 식후 혈당상승 억제에 도움을 줄 수 있음"
(주)허브큐어,카테킨골드(전량수출용),20040015162144,20170607,제조일로부터 3년,"녹차추출분말 - ①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

판토텐산 - ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

셀레늄 - ①유해산소로부터 세포를 보호하는데 필요"
한국바이오팜(주)에이치피,카테킨다이어트,20040020046407,20150522,24개월,"[녹차추출물 제품]①항산화 작용②체지방 감소에 도움을 줄 수 있음
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
"
(주)비오팜,카테킨포텐,20040017021919,20191219,제조일로부터 24개월,"[녹차추출물] ①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

[비타민C] ①결합조직 형성과 기능유지에 필요, ②철의 흡수에 필요, ③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[비타민E] ①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[셀레늄(또는 셀렌)] ①유해산소로부터 세포를 보호하는데 필요"
(주)서흥,카트리지포뮬러,20040020006823,20150522,제조일로부터 24개월,"NAG(엔에이지, N-아세틸글루코사민, N-Acetylglucosamine) : (1) 관절 및 연골 건강에 도움을 줄 수 있음 (2) 피부보습에 도움을 줄 수 있음 
비타민E : (1) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요 
비타민C : (1) 결합조직 형성과 기능유지에 필요 (2) 철의 흡수에 필요 (3) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요 
아연 : (1) 정상적인 면역기능에 필요 (2) 정상적인 세포분열에 필요 
구리 : (1) 철의 운반과 이용에 필요 (2유해산소로부터 세포를 보호하는데 필요"
